stimFile,feeling,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,text.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,globalclock_2.routineEndVal,movie.started,variable_globalclock_end.started,variable_globalclock_end.stopped,globalclock.routineEndVal,key_resp_2.started,slider_2.response,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,gender,age,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,0.0378228,0.0378228,space,-28.5270878,0.1963186,,,,,,,,,,,1,male,283,2023-08-17_17h37.41.437,untitled,2023.2.0,59.99001765,2023-08-17 17h37.59.220584 +0200
stims/sad.mp4,sadness,0,0,0,0,3.4744835,,,,,,,17:38:01.8,3.4744835,7.8484077,7.8492171,17:38:07.1,7.956172,3.00617284,space,-25.3576626,None,1,male,283,2023-08-17_17h37.41.437,untitled,2023.2.0,59.99001765,2023-08-17 17h37.59.220584 +0200
stims/happy.mp4,happiness,0,1,1,1,13.5561416,,,,,,,17:38:12.7,13.5955481,18.6850299,18.6857055,17:38:17.9,18.7147745,3.283950617,space,-27.7951336,None,1,male,283,2023-08-17_17h37.41.437,untitled,2023.2.0,59.99001765,2023-08-17 17h37.59.220584 +0200
stims/neutral.mp4,neutrality,0,2,2,2,21.855271,,,,,,,17:38:21.0,21.9004078,26.9943495,26.9950855,17:38:26.2,27.0273533,3.49382716,space,-25.6652323,None,1,male,283,2023-08-17_17h37.41.437,untitled,2023.2.0,59.99001765,2023-08-17 17h37.59.220584 +0200
