stimFile,feeling,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,globalclock_2.routineEndVal,movie.started,globalclock.routineEndVal,slider_2.response,participant,gender,age,date,expName,psychopyVersion,frameRate,expStart,
stims/neutral.mp4,neutrality,0,0,0,2,6.782732599996962,,17:45:36.522299,6.782732599996962,17:45:41.767760,3.049382716049383,2,female,76,2023-08-17_17h45.01.281,untitled,2023.2.0,59.88952777948705,2023-08-17 17h45.31.866946 +0200,
stims/sad.mp4,sadness,0,1,1,0,19.058352699968964,,17:45:49.523266,19.10443429998122,17:45:54.749362,3.049382716049383,2,female,76,2023-08-17_17h45.01.281,untitled,2023.2.0,59.88952777948705,2023-08-17 17h45.31.866946 +0200,
stims/happy.mp4,happiness,0,2,2,1,65.83827259996906,,17:46:36.292844,65.89619729999686,17:46:41.527628,3.049382716049383,2,female,76,2023-08-17_17h45.01.281,untitled,2023.2.0,59.88952777948705,2023-08-17 17h45.31.866946 +0200,
